Species	WP028_5z	WP029_6c	WP030_23	WP031_14	WP033_26	WP034_11	WP035_5c	WP036_2z	WP037_32	WP038_28	WP039_18	WP040_4c	WP041_2c	WP032_9	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Brachysporium_sp	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	97.0	0.0	1.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Brachysporium	Brachysporium_sp	101.0	Undefined Saprotroph	Sap
Triscelophorus_sp	0.0	0.0	7.0	3.0	9.0	1.0	0.0	0.0	0.0	46.0	3.0	0.0	75.0	6.0	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Triscelophorus	Triscelophorus_sp	150.0	Endophyte	Nop
Lasionectriopsis_spinosa	1.0	0.0	2.0	12.0	41.0	17.0	1.0	0.0	0.0	61.0	92.0	0.0	4.0	76.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Lasionectriopsis	Lasionectriopsis_spinosa	307.0	NA	ENA
GS07_sp	1.0	7.0	2.0	0.0	0.0	0.0	131.0	0.0	1.0	37.0	0.0	0.0	0.0	0.0	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS07	GS07_fam_Incertae_sedis	GS07_gen_Incertae_sedis	GS07_sp	179.0	NA	ENA
Exophiala_sp	261.0	5.0	26.0	4.0	28.0	4.0	1.0	2.0	7.0	47.0	25.0	8.0	12.0	6.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_sp	436.0	NA	ENA
Cyathicula_sp	0.0	0.0	16.0	0.0	35.0	0.0	0.0	0.0	0.0	30.0	15.0	0.0	6.0	3.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula	Cyathicula_sp	105.0	Undefined Saprotroph	Sap
Ramariopsis_sp	0.0	0.0	178.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	Ramariopsis_sp	245.0	Undefined Saprotroph	Sap
Dioszegia_crocea	0.0	24.0	4.0	5.0	23.0	0.0	1.0	2.0	0.0	25.0	7.0	1.0	13.0	1.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_crocea	106.0	NA	ENA
Microsporomycetaceae_sp	0.0	0.0	27.0	1.0	4.0	4.0	0.0	0.0	0.0	144.0	7.0	0.0	12.0	8.0	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Microsporomycetaceae	Microsporomycetaceae_gen_Incertae_sedis	Microsporomycetaceae_sp	207.0	NA	ENA
GS27_ord_Incertae_sedis_sp	0.0	0.0	0.0	0.0	6.0	97.0	0.0	0.0	1.0	1.0	6.0	0.0	4.0	16.0	Fungi	Basidiomycota	GS27	GS27_ord_Incertae_sedis	GS27_ord_Incertae_sedis_fam_Incertae_sedis	GS27_ord_Incertae_sedis_gen_Incertae_sedis	GS27_ord_Incertae_sedis_sp	131.0	NA	ENA
Nectria_ramulariae	9.0	3.0	585.0	60.0	221.0	45.0	44.0	3.0	0.0	141.0	165.0	5.0	83.0	75.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria_ramulariae	1440.0	Animal Pathogen, Endophyte, Fungal Parasite, Lichen Parasite, Plant Pathogen, Wood Saprotroph	Pat
Leptospora_sp	0.0	14.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	3.0	71.0	0.0	0.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Leptospora	Leptospora_sp	109.0	NA	ENA
Discosia_sp	0.0	1.0	26.0	6.0	0.0	20.0	0.0	0.0	0.0	0.0	29.0	2.0	9.0	2.0	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Discosiaceae	Discosia	Discosia_sp	95.0	NA	ENA
Geomyces_sp	17.0	4.0	11.0	2.0	65.0	23.0	0.0	0.0	0.0	33.0	17.0	0.0	7.0	9.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	Geomyces_sp	188.0	Soil Saprotroph	Sap
Inocybe_rufoalba	32.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_rufoalba	157.0	Ectomycorrhizal	Myc
Kurtzmanomyces_sp	0.0	239.0	11.0	7.0	16.0	6.0	10.0	1.0	3.0	8.0	6.0	25.0	31.0	9.0	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces	Kurtzmanomyces_sp	372.0	NA	ENA
Resinicium_bicolor	0.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	0.0	0.0	107.0	0.0	2.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Resinicium	Resinicium_bicolor	127.0	Undefined Saprotroph	Sap
Dothideomycetes_sp	6.0	35.0	110.0	15.0	8.0	2.0	4.0	3.0	0.0	22.0	4.0	0.0	26.0	70.0	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Dothideomycetes_gen_Incertae_sedis	Dothideomycetes_sp	305.0	NA	ENA
Amphinema_sp	9.0	4.0	0.0	5.0	78.0	2.0	21.0	10.0	2.0	2.0	6.0	83.0	12.0	45.0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema	Amphinema_sp	279.0	Ectomycorrhizal	Myc
Mortierellomycetes_sp	1.0	0.0	4.0	10.0	25.0	52.0	0.0	0.0	0.0	62.0	16.0	0.0	5.0	3.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellomycetes_ord_Incertae_sedis	Mortierellomycetes_fam_Incertae_sedis	Mortierellomycetes_gen_Incertae_sedis	Mortierellomycetes_sp	178.0	NA	ENA
Neosetophoma_aseptata	11.0	28.0	1.0	0.0	3.0	0.0	21.0	79.0	3.0	4.0	0.0	28.0	0.0	0.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma_aseptata	178.0	Undefined Saprotroph	Sap
Cladosporium_halotolerans	1.0	19.0	2.0	3.0	3.0	0.0	1.0	18.0	25.0	1.0	2.0	7.0	3.0	68.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_halotolerans	153.0	NA	ENA
Spiculogloeales_sp	0.0	0.0	3.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	60.0	0.0	2.0	13.0	Fungi	Basidiomycota	Spiculogloeomycetes	Spiculogloeales	Spiculogloeales_fam_Incertae_sedis	Spiculogloeales_gen_Incertae_sedis	Spiculogloeales_sp	89.0	NA	ENA
Cystobasidium_ritchiei	3.0	5.0	8.0	7.0	19.0	0.0	1.0	11.0	4.0	28.0	3.0	1.0	7.0	5.0	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_ritchiei	102.0	Fungal Parasite	Nop
Tolypocladium_sp	0.0	0.0	36.0	73.0	7.0	4.0	0.0	0.0	0.0	4.0	10.0	0.0	3.0	9.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	Tolypocladium_sp	146.0	Animal Pathogen, Clavicipitaceous Endophyte, Fungal Parasite	End
Fagicola_fagi	0.0	0.0	35.0	3.0	3.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	14.0	20.0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Fagicola	Fagicola_fagi	86.0	Litter Saprotroph	Sap
Saccharomycetales_sp	19.0	34.0	57.0	22.0	114.0	68.0	5.0	4.0	1.0	34.0	44.0	24.0	27.0	24.0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	Saccharomycetales_sp	477.0	NA	ENA
Occultifur_sp	55.0	10.0	1.0	1.0	9.0	0.0	0.0	4.0	20.0	2.0	0.0	20.0	0.0	4.0	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	Occultifur_sp	126.0	Fungal Parasite, Litter Saprotroph, Undefined Saprotroph	Sap
Saitozyma_sp	1.0	0.0	21.0	11.0	18.0	4.0	0.0	0.0	0.0	77.0	8.0	0.0	2.0	15.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_sp	157.0	NA	ENA
Scytalidium_lignicola	0.0	0.0	4.0	17.0	5.0	292.0	1.0	0.0	1.0	19.0	23.0	1.0	11.0	7.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	Scytalidium_lignicola	381.0	Wood Saprotroph	Sap
Podila_epicladia	16.0	2.0	293.0	12.0	0.0	0.0	0.0	0.0	3.0	29.0	7.0	0.0	1.0	0.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_epicladia	363.0	NA	ENA
Leptobacillium_leptobactrum	1.0	5.0	6.0	0.0	48.0	20.0	0.0	0.0	1.0	10.0	40.0	0.0	121.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Leptobacillium	Leptobacillium_leptobactrum	252.0	NA	ENA
Archaeorhizomycetes_sp	29.0	0.0	1.0	0.0	15.0	32.0	1.0	0.0	1.0	80.0	1.0	11.0	0.0	9.0	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetes_ord_Incertae_sedis	Archaeorhizomycetes_fam_Incertae_sedis	Archaeorhizomycetes_gen_Incertae_sedis	Archaeorhizomycetes_sp	180.0	NA	ENA
Sporidiobolales_sp	62.0	69.0	71.0	110.0	63.0	1512.0	7.0	12.0	85.0	75.0	112.0	32.0	24.0	140.0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Sporidiobolales_gen_Incertae_sedis	Sporidiobolales_sp	2374.0	NA	ENA
Mastigobasidium_sp	0.0	0.0	0.0	0.0	4.0	109.0	0.0	0.0	0.0	1.0	11.0	0.0	9.0	0.0	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Mastigobasidium	Mastigobasidium_sp	134.0	Litter Saprotroph	Sap
Herpotrichia_pinetorum	0.0	0.0	45.0	4.0	8.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	36.0	0.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Herpotrichia	Herpotrichia_pinetorum	106.0	Undefined Saprotroph	Sap
Cladophialophora_cabanerensis	0.0	0.0	0.0	1.0	9.0	2.0	0.0	0.0	0.0	11.0	21.0	0.0	1.0	35.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_cabanerensis	80.0	Undefined Saprotroph	Sap
Tetracladium_sp	155.0	176.0	29.0	80.0	48.0	8.0	186.0	187.0	194.0	28.0	23.0	189.0	61.0	22.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_sp	1386.0	Undefined Saprotroph	Sap
Basidiobolales_sp	107.0	1.0	51.0	1.0	0.0	0.0	6.0	6.0	0.0	1.0	3.0	12.0	15.0	0.0	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolales_fam_Incertae_sedis	Basidiobolales_gen_Incertae_sedis	Basidiobolales_sp	203.0	NA	ENA
Lipomyces_sp	1.0	0.0	21.0	0.0	4.0	0.0	0.0	0.0	1.0	4.0	6.0	1.0	291.0	1.0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomyces	Lipomyces_sp	330.0	NA	ENA
Nigrospora_hainanensis	11.0	36.0	4.0	4.0	39.0	0.0	9.0	4.0	0.0	19.0	0.0	22.0	0.0	5.0	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_hainanensis	153.0	Undefined Saprotroph	Sap
Cephalothecaceae_sp	0.0	0.0	0.0	2.0	0.0	124.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalothecaceae_gen_Incertae_sedis	Cephalothecaceae_sp	128.0	NA	ENA
Rhodosporidiobolus_colostri	0.0	11.0	4.0	4.0	4.0	0.0	26.0	3.0	3.0	19.0	6.0	5.0	5.0	8.0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_colostri	98.0	NA	ENA
Acremonium_rutilum	6.0	1.0	11.0	1.0	0.0	12.0	34.0	3.0	1.0	1.0	3.0	22.0	3.0	2.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_rutilum	100.0	Animal Pathogen, Endophyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Ramularia_hydrangeae-macrophyllae	8.0	124.0	0.0	0.0	1.0	0.0	48.0	5.0	1.0	0.0	0.0	10.0	5.0	0.0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia_hydrangeae-macrophyllae	202.0	NA	ENA
Cryptococcus_watticus	1.0	8.0	12.0	2.0	4.0	10.0	3.0	5.0	0.0	24.0	15.0	0.0	20.0	19.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_watticus	123.0	Animal Pathogen, Endophyte, Epiphyte, Undefined Saprotroph	Pat
Postia_ptychogaster	0.0	0.0	16.0	0.0	18.0	46.0	0.0	0.0	0.0	85.0	12.0	0.0	0.0	1.0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Postia	Postia_ptychogaster	178.0	Wood Saprotroph	Sap
Schizothecium_sp	149.0	0.0	0.0	2.0	25.0	0.0	1.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_sp	185.0	Dung Saprotroph	Nop
GS09_sp	0.0	0.0	0.0	2.0	0.0	266.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS09	GS09_fam_Incertae_sedis	GS09_gen_Incertae_sedis	GS09_sp	273.0	NA	ENA
Blumeria_graminis	0.0	0.0	26.0	2.0	1.0	0.0	4.0	0.0	0.0	15.0	232.0	1.0	46.0	6.0	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis	337.0	NA	ENA
Lipomycetaceae_sp	0.0	0.0	0.0	3.0	0.0	166.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomycetaceae_gen_Incertae_sedis	Lipomycetaceae_sp	175.0	NA	ENA
Tympanidaceae_sp	0.0	2.0	35.0	44.0	20.0	1.0	0.0	0.0	8.0	25.0	39.0	0.0	100.0	26.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tympanidaceae	Tympanidaceae_gen_Incertae_sedis	Tympanidaceae_sp	300.0	NA	ENA
Didymella_glomerata	83.0	176.0	106.0	62.0	35.0	22.0	187.0	300.0	350.0	26.0	47.0	354.0	79.0	18.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_glomerata	1845.0	Animal Pathogen, Plant Pathogen, Undefined Saprotroph	Pat
Curvibasidium_nothofagi	0.0	0.0	4.0	1.0	8.0	3.0	0.0	0.0	0.0	14.0	13.0	0.0	50.0	4.0	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium	Curvibasidium_nothofagi	97.0	NA	ENA
Connersia_sp	0.0	0.0	8.0	1.0	36.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	49.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Connersia	Connersia_sp	113.0	Undefined Saprotroph	Sap
Neocosmospora_rubicola	33.0	6.0	6.0	0.0	2.0	0.0	4.0	8.0	17.0	0.0	7.0	144.0	8.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora_rubicola	235.0	Undefined Saprotroph	Sap
Sebacinales_sp	5.0	5.0	0.0	0.0	2.0	0.0	28.0	1.0	25.0	4.0	0.0	5.0	1.0	1.0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinales_fam_Incertae_sedis	Sebacinales_gen_Incertae_sedis	Sebacinales_sp	77.0	NA	ENA
Cylindrocladiella_pseudoparva	4.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocladiella	Cylindrocladiella_pseudoparva	92.0	Plant Pathogen	Pat
Coniothyrium_sp	31.0	0.0	0.0	0.0	3.0	0.0	0.0	16.0	62.0	0.0	0.0	2.0	0.0	0.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	Coniothyrium_sp	114.0	Plant Pathogen, Wood Saprotroph	Pat
Serendipita_sp	15.0	4.0	0.0	13.0	38.0	1.0	0.0	0.0	0.0	2.0	0.0	29.0	157.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita_sp	259.0	Orchid Mycorrhizal	Myc
Coniochaeta_sp	17.0	14.0	14.0	11.0	21.0	5.0	2.0	0.0	9.0	89.0	7.0	24.0	11.0	30.0	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta_sp	254.0	Animal Pathogen, Dung Saprotroph, Endophyte, Lichen Parasite, Plant Pathogen, Undefined Saprotroph	Pat
Sagenomella_diversispora	0.0	0.0	38.0	39.0	11.0	7.0	0.0	0.0	0.0	33.0	20.0	0.0	11.0	67.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Sagenomella	Sagenomella_diversispora	226.0	Undefined Saprotroph	Sap
Taphrina_tormentillae	0.0	1.0	12.0	6.0	25.0	3.0	0.0	0.0	0.0	10.0	5.0	0.0	23.0	9.0	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_tormentillae	94.0	Plant Pathogen	Pat
Cephalotheca_sp	0.0	0.0	0.0	1.0	7.0	24.0	0.0	0.0	0.0	56.0	2.0	0.0	1.0	17.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca	Cephalotheca_sp	108.0	Undefined Saprotroph	Sap
Neosetophoma_xingrensis	0.0	91.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma_xingrensis	100.0	Undefined Saprotroph	Sap
Amphisphaeriaceae_sp	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Amphisphaeriaceae_gen_Incertae_sedis	Amphisphaeriaceae_sp	90.0	NA	ENA
Cladosporium_basi-inflatum	6.0	12.0	5.0	1.0	18.0	0.0	1.0	14.0	4.0	25.0	2.0	4.0	59.0	5.0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_basi-inflatum	156.0	NA	ENA
Galerina_sp	131.0	11.0	29.0	13.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina_sp	203.0	Bryophyte Parasite, Leaf Saprotroph, Soil Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Sebacina_sp	17.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_sp	121.0	Ectomycorrhizal, Orchid Mycorrhizal, Root Associated Biotroph	Myc
Agaricostilbales_sp	5.0	14.0	5.0	11.0	30.0	1.0	7.0	26.0	0.0	8.0	8.0	13.0	16.0	3.0	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbales_fam_Incertae_sedis	Agaricostilbales_gen_Incertae_sedis	Agaricostilbales_sp	147.0	NA	ENA
Beauveria_caledonica	1.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria_caledonica	117.0	Animal Pathogen	Nop
Humicola_quadrangulata	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_quadrangulata	92.0	NA	ENA
Filobasidium_oeirense	11.0	50.0	0.0	0.0	0.0	0.0	13.0	10.0	3.0	0.0	3.0	12.0	0.0	6.0	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_oeirense	108.0	Undefined Saprotroph	Sap
Neodeightonia_subglobosa	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neodeightonia	Neodeightonia_subglobosa	81.0	Plant Pathogen	Pat
Pseudophialocephala_humicola	2.0	49.0	3.0	6.0	10.0	0.0	0.0	0.0	0.0	6.0	13.0	3.0	0.0	2.0	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Pseudophialocephala	Pseudophialocephala_humicola	94.0	NA	ENA
Mortierellomycota_sp	26.0	8.0	1.0	0.0	0.0	0.0	1.0	34.0	18.0	0.0	0.0	1.0	0.0	0.0	Fungi	Mortierellomycota	Mortierellomycota_cls_Incertae_sedis	Mortierellomycota_ord_Incertae_sedis	Mortierellomycota_fam_Incertae_sedis	Mortierellomycota_gen_Incertae_sedis	Mortierellomycota_sp	89.0	NA	ENA
Penicillium_penicillioides	0.0	49.0	14.0	5.0	6.0	0.0	4.0	0.0	0.0	4.0	2.0	7.0	0.0	0.0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_penicillioides	91.0	Dung Saprotroph, Undefined Saprotroph, Wood Saprotroph	Sap
Leuconeurospora_sp	0.0	0.0	11.0	1.0	16.0	10.0	0.0	0.0	0.0	12.0	32.0	0.0	14.0	3.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Leuconeurospora	Leuconeurospora_sp	99.0	Undefined Saprotroph	Sap
Clavicipitaceae_sp	0.0	21.0	7.0	0.0	10.0	1.0	0.0	1.0	0.0	1.0	20.0	13.0	96.0	6.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Clavicipitaceae_gen_Incertae_sedis	Clavicipitaceae_sp	176.0	NA	ENA
Ilyonectria_robusta	55.0	8.0	7.0	4.0	13.0	0.0	0.0	1.0	7.0	5.0	37.0	57.0	12.0	0.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_robusta	206.0	Plant Pathogen	Pat
Hydnodontaceae_sp	0.0	0.0	6.0	3.0	4.0	53.0	1.0	0.0	0.0	150.0	11.0	0.0	20.0	77.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Hydnodontaceae_gen_Incertae_sedis	Hydnodontaceae_sp	325.0	NA	ENA
Ceratobasidium_sp	0.0	0.0	45.0	79.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium_sp	135.0	Endomycorrhizal, Plant Pathogen, Undefined Saprotroph	Myc
Mycosphaerellaceae_sp	17.0	58.0	0.0	0.0	4.0	0.0	1.0	6.0	4.0	15.0	5.0	9.0	29.0	1.0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Mycosphaerellaceae_gen_Incertae_sedis	Mycosphaerellaceae_sp	149.0	NA	ENA
Bettsia_alvei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	1.0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Bettsia	Bettsia_alvei	111.0	Animal Pathogen	Nop
Taphrina_carpini	16.0	38.0	4.0	15.0	45.0	0.0	12.0	46.0	9.0	13.0	3.0	11.0	11.0	1.0	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_carpini	224.0	Plant Pathogen	Pat
Sampaiozyma_ingeniosa	0.0	222.0	0.0	1.0	3.0	0.0	21.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Sampaiozyma	Sampaiozyma_ingeniosa	256.0	NA	ENA
Orbiliaceae_sp	4.0	21.0	1.0	0.0	11.0	0.0	1.0	0.0	0.0	17.0	1.0	1.0	54.0	0.0	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbiliaceae_gen_Incertae_sedis	Orbiliaceae_sp	111.0	NA	ENA
Didymella_longicolla	30.0	82.0	15.0	8.0	7.0	2.0	14.0	521.0	8.0	14.0	2.0	22.0	44.0	5.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_longicolla	774.0	Animal Pathogen, Plant Pathogen, Undefined Saprotroph	Pat
Hormonema_macrosporum	0.0	6.0	6.0	6.0	43.0	0.0	0.0	11.0	3.0	4.0	6.0	3.0	22.0	9.0	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema_macrosporum	119.0	Undefined Saprotroph	Sap
Pestalotiopsis_coffeae-arabicae	35.0	4.0	0.0	2.0	3.0	0.0	2.0	22.0	37.0	1.0	0.0	15.0	14.0	0.0	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Pestalotiopsis	Pestalotiopsis_coffeae-arabicae	135.0	Plant Pathogen	Pat
